state,date,new_results_reported,total_results_reported,Longitude,Latitude
CA,1/30/2021,18686,3313767,-119.662127,37.211164
NY,1/30/2021,11122,1545462,-75.59655,42.921241
MD,1/30/2021,3359,692423,-76.687282,38.946466
WA,1/30/2021,728,217896,-120.592492,47.411715
LA,1/31/2021,629,473142,-91.840238,30.921314
CA,1/31/2021,15146,3328913,-119.662127,37.211164
FL,1/31/2021,6666,2222195,-82.420978,28.260731
WA,1/31/2021,581,218477,-120.592492,47.411715
OH,1/31/2021,2252,812957,-82.70936,40.415534
NY,1/31/2021,8605,1554067,-75.59655,42.921241
MD,1/31/2021,2498,694921,-76.687282,38.946466
GA,1/31/2021,1878,700254,-83.426574,32.638481
OH,1/4/2021,5045,688123,-82.70936,40.415534
WA,1/4/2021,1227,188283,-120.592492,47.411715
NY,1/4/2021,9374,1163859,-75.59655,42.921241
MD,1/4/2021,4465,551257,-76.687282,38.946466
LA,1/4/2021,4302,421113,-91.840238,30.921314
CA,1/4/2021,36941,2530071,-119.662127,37.211164
FL,1/4/2021,15561,1859848,-82.420978,28.260731
GA,1/4/2021,2579,568063,-83.426574,32.638481
NY,1/5/2021,10294,1174153,-75.59655,42.921241
OH,1/5/2021,8195,696318,-82.70936,40.415534
MD,1/5/2021,7255,558512,-76.687282,38.946466
LA,1/5/2021,4766,425879,-91.840238,30.921314
WA,1/5/2021,1560,189843,-120.592492,47.411715
CA,1/5/2021,47602,2577673,-119.662127,37.211164
FL,1/5/2021,20153,1880001,-82.420978,28.260731
GA,1/5/2021,2878,570941,-83.426574,32.638481
LA,1/6/2021,4292,430171,-91.840238,30.921314
WA,1/6/2021,2131,191974,-120.592492,47.411715
NY,1/6/2021,19915,1194068,-75.59655,42.921241
MD,1/6/2021,7036,565548,-76.687282,38.946466
FL,1/6/2021,19362,1899363,-82.420978,28.260731
GA,1/6/2021,3528,574469,-83.426574,32.638481
CA,1/6/2021,55503,2633176,-119.662127,37.211164
OH,1/6/2021,8513,704831,-82.70936,40.415534
FL,1/7/2021,18124,1917487,-82.420978,28.260731
GA,1/7/2021,5946,580415,-83.426574,32.638481
WA,1/7/2021,1993,193967,-120.592492,47.411715
OH,1/7/2021,8376,713207,-82.70936,40.415534
NY,1/7/2021,19113,1213181,-75.59655,42.921241
LA,1/7/2021,3665,433836,-91.840238,30.921314
MD,1/7/2021,8675,574223,-76.687282,38.946466
CA,1/7/2021,52856,2686032,-119.662127,37.211164
WA,1/8/2021,1834,195801,-120.592492,47.411715
OH,1/8/2021,6952,720159,-82.70936,40.415534
NY,1/8/2021,18180,1231361,-75.59655,42.921241
FL,1/8/2021,17283,1934770,-82.420978,28.260731
MD,1/8/2021,7526,581749,-76.687282,38.946466
LA,1/8/2021,3471,437307,-91.840238,30.921314
GA,1/8/2021,7232,587647,-83.426574,32.638481
CA,1/8/2021,44536,2730568,-119.662127,37.211164
FL,1/9/2021,13685,1948455,-82.420978,28.260731
WA,1/9/2021,1406,197207,-120.592492,47.411715
CA,1/9/2021,32319,2762887,-119.662127,37.211164
OH,1/9/2021,5727,725886,-82.70936,40.415534
NY,1/9/2021,16771,1248132,-75.59655,42.921241
MD,1/9/2021,6570,588319,-76.687282,38.946466
LA,1/9/2021,2122,439429,-91.840238,30.921314
GA,1/9/2021,5051,592698,-83.426574,32.638481
OH,10/1/2020,1421,169815,-82.70936,40.415534
GA,10/1/2020,1292,294777,-83.426574,32.638481
NY,10/1/2020,1725,536888,-75.59655,42.921241
LA,10/1/2020,785,264256,-91.840238,30.921314
FL,10/1/2020,3117,1157353,-82.420978,28.260731
CA,10/1/2020,3828,879838,-119.662127,37.211164
MD,10/1/2020,1459,212116,-76.687282,38.946466
WA,10/1/2020,405,82854,-120.592492,47.411715
FL,10/10/2020,2892,1185434,-82.420978,28.260731
NY,10/10/2020,1418,550681,-75.59655,42.921241
MD,10/10/2020,1112,222103,-76.687282,38.946466
LA,10/10/2020,518,270958,-91.840238,30.921314
GA,10/10/2020,725,304922,-83.426574,32.638481
WA,10/10/2020,384,86370,-120.592492,47.411715
OH,10/10/2020,1421,182121,-82.70936,40.415534
CA,10/10/2020,3317,905636,-119.662127,37.211164
MD,10/11/2020,816,222919,-76.687282,38.946466
LA,10/11/2020,466,271424,-91.840238,30.921314
GA,10/11/2020,466,305388,-83.426574,32.638481
WA,10/11/2020,237,86607,-120.592492,47.411715
OH,10/11/2020,1404,183525,-82.70936,40.415534
CA,10/11/2020,3038,908674,-119.662127,37.211164
NY,10/11/2020,1334,552015,-75.59655,42.921241
FL,10/11/2020,2008,1187442,-82.420978,28.260731
OH,10/12/2020,1420,184945,-82.70936,40.415534
WA,10/12/2020,319,86926,-120.592492,47.411715
NY,10/12/2020,1538,553553,-75.59655,42.921241
MD,10/12/2020,842,223761,-76.687282,38.946466
FL,10/12/2020,2416,1189858,-82.420978,28.260731
