state,date,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,Longitude,Latitude
NY,7/14/2020,0.0,0.0,-75.59655,42.921241
OH,7/14/2020,,,-82.70936,40.415534
WA,7/14/2020,,,-120.592492,47.411715
CA,7/13/2020,,,-119.662127,37.211164
FL,7/13/2020,,,-82.420978,28.260731
GA,7/13/2020,0.0,0.0,-83.426574,32.638481
LA,7/13/2020,112.0,,-91.840238,30.921314
MD,7/13/2020,,,-76.687282,38.946466
NY,7/13/2020,0.0,0.0,-75.59655,42.921241
OH,7/13/2020,,,-82.70936,40.415534
WA,7/13/2020,,,-120.592492,47.411715
CA,7/12/2020,,,-119.662127,37.211164
FL,7/12/2020,,,-82.420978,28.260731
GA,7/12/2020,0.0,0.0,-83.426574,32.638481
LA,7/12/2020,129.0,,-91.840238,30.921314
MD,7/12/2020,,,-76.687282,38.946466
NY,7/12/2020,0.0,0.0,-75.59655,42.921241
OH,7/12/2020,,,-82.70936,40.415534
WA,7/12/2020,,,-120.592492,47.411715
CA,7/11/2020,,,-119.662127,37.211164
FL,7/11/2020,,,-82.420978,28.260731
GA,7/11/2020,0.0,0.0,-83.426574,32.638481
LA,7/11/2020,112.0,,-91.840238,30.921314
MD,7/11/2020,,,-76.687282,38.946466
NY,7/11/2020,0.0,0.0,-75.59655,42.921241
OH,7/11/2020,,,-82.70936,40.415534
WA,7/11/2020,,,-120.592492,47.411715
CA,7/10/2020,,,-119.662127,37.211164
FL,7/10/2020,,,-82.420978,28.260731
GA,7/10/2020,0.0,0.0,-83.426574,32.638481
LA,7/10/2020,118.0,,-91.840238,30.921314
MD,7/10/2020,,,-76.687282,38.946466
NY,7/10/2020,0.0,0.0,-75.59655,42.921241
OH,7/10/2020,,,-82.70936,40.415534
WA,7/10/2020,,,-120.592492,47.411715
CA,7/9/2020,,,-119.662127,37.211164
FL,7/9/2020,,,-82.420978,28.260731
GA,7/9/2020,0.0,0.0,-83.426574,32.638481
LA,7/9/2020,88.0,,-91.840238,30.921314
MD,7/9/2020,,,-76.687282,38.946466
NY,7/9/2020,0.0,0.0,-75.59655,42.921241
OH,7/9/2020,,,-82.70936,40.415534
WA,7/9/2020,,,-120.592492,47.411715
CA,7/8/2020,,,-119.662127,37.211164
FL,7/8/2020,,,-82.420978,28.260731
GA,7/8/2020,0.0,0.0,-83.426574,32.638481
LA,7/8/2020,88.0,,-91.840238,30.921314
MD,7/8/2020,,,-76.687282,38.946466
NY,7/8/2020,0.0,0.0,-75.59655,42.921241
OH,7/8/2020,,,-82.70936,40.415534
WA,7/8/2020,,,-120.592492,47.411715
CA,7/7/2020,,,-119.662127,37.211164
FL,7/7/2020,,,-82.420978,28.260731
GA,7/7/2020,0.0,0.0,-83.426574,32.638481
LA,7/7/2020,70.0,,-91.840238,30.921314
MD,7/7/2020,,,-76.687282,38.946466
NY,7/7/2020,0.0,0.0,-75.59655,42.921241
OH,7/7/2020,,,-82.70936,40.415534
WA,7/7/2020,,,-120.592492,47.411715
CA,7/6/2020,,,-119.662127,37.211164
FL,7/6/2020,,,-82.420978,28.260731
GA,7/6/2020,,,-83.426574,32.638481
LA,7/6/2020,50.0,,-91.840238,30.921314
MD,7/6/2020,,,-76.687282,38.946466
NY,7/6/2020,0.0,0.0,-75.59655,42.921241
OH,7/6/2020,,,-82.70936,40.415534
WA,7/6/2020,,,-120.592492,47.411715
CA,7/5/2020,,,-119.662127,37.211164
FL,7/5/2020,,,-82.420978,28.260731
GA,7/5/2020,,,-83.426574,32.638481
LA,7/5/2020,61.0,,-91.840238,30.921314
MD,7/5/2020,,,-76.687282,38.946466
NY,7/5/2020,0.0,0.0,-75.59655,42.921241
OH,7/5/2020,,,-82.70936,40.415534
WA,7/5/2020,,,-120.592492,47.411715
CA,7/4/2020,,,-119.662127,37.211164
FL,7/4/2020,,,-82.420978,28.260731
GA,7/4/2020,,,-83.426574,32.638481
LA,7/4/2020,89.0,,-91.840238,30.921314
MD,7/4/2020,,,-76.687282,38.946466
NY,7/4/2020,0.0,0.0,-75.59655,42.921241
OH,7/4/2020,,,-82.70936,40.415534
WA,7/4/2020,,,-120.592492,47.411715
CA,7/3/2020,,,-119.662127,37.211164
FL,7/3/2020,,,-82.420978,28.260731
GA,7/3/2020,,,-83.426574,32.638481
LA,7/3/2020,80.0,,-91.840238,30.921314
MD,7/3/2020,,,-76.687282,38.946466
NY,7/3/2020,0.0,0.0,-75.59655,42.921241
OH,7/3/2020,,,-82.70936,40.415534
WA,7/3/2020,,,-120.592492,47.411715
CA,7/2/2020,,,-119.662127,37.211164
FL,7/2/2020,,,-82.420978,28.260731
GA,7/2/2020,,,-83.426574,32.638481
LA,7/2/2020,67.0,,-91.840238,30.921314
MD,7/2/2020,,,-76.687282,38.946466
NY,7/2/2020,0.0,0.0,-75.59655,42.921241
OH,7/2/2020,,,-82.70936,40.415534
WA,7/2/2020,,,-120.592492,47.411715
CA,7/1/2020,,,-119.662127,37.211164
